tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,305,211921,10,,Julieta Lara Estable,R,,ARG,26.5,206194,6,,Gabriela Ce,L,,BRA,30.8,6-3 4-6 7-5,3,R16,,,,,,,,,,,,,,,,,,,,505,103,385,161
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,306,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,206430,4,,Carolina Alves,U,,BRA,27.7,6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,,671,57,303,226
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,307,211809,5,,Daria Lodikova,R,,RUS,27.6,214254,11,,Alice Rame,R,,FRA,26.1,6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,,347,186,531,92
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,308,222859,15,,Maria Sara Popa,L,,ROU,18.4,220446,,,Jazmin Ortenzi,R,,ARG,22.1,6-0 6-0,3,R16,,,,,,,,,,,,,,,,,,,,603,73,762,42
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,401,213837,1,,Ylena In Albon,R,,SUI,24.8,206037,,,Daniela Seguel,U,171,CHI,31.1,3-6 7-5 6-4,3,QF,,,,,,,,,,,,,,,,,,,,257,290,670,57
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,402,214319,9,,Sara Cakarevic,R,,FRA,26.8,204419,3,,Ana Sofia Sanchez,L,,MEX,29.7,6-3 6-7(4) 6-4,3,QF,,,,,,,,,,,,,,,,,,,,467,118,297,231
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,403,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,211921,10,,Julieta Lara Estable,R,,ARG,26.5,6-1 6-2,3,QF,,,,,,,,,,,,,,,,,,,,671,57,505,103
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,404,222859,15,,Maria Sara Popa,L,,ROU,18.4,211809,5,,Daria Lodikova,R,,RUS,27.6,6-4 7-5,3,QF,,,,,,,,,,,,,,,,,,,,603,73,347,186
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,501,213837,1,,Ylena In Albon,R,,SUI,24.8,214319,9,,Sara Cakarevic,R,,FRA,26.8,4-6 7-5 7-5,3,SF,,,,,,,,,,,,,,,,,,,,257,290,467,118
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,502,222859,15,,Maria Sara Popa,L,,ROU,18.4,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,6-2 7-5,3,SF,,,,,,,,,,,,,,,,,,,,603,73,671,57
2024-W-ITF-ARG-01A-2024,W35 Buenos Aires,Clay,48,35,20240115,601,222859,15,,Maria Sara Popa,L,,ROU,18.4,213837,1,,Ylena In Albon,R,,SUI,24.8,6-2 6-0,3,F,,,,,,,,,,,,,,,,,,,,603,73,257,290
